accessibility,accreditation,address,capacity,case_types,city,email,fees,founding_date,hours,id,languages,name,notes,phone,postal_code,referral_contacts,region,regions_served,reviews,source,specialty,staff,type,wait_time,website
wheelchair_accessible,Belgian housing association,Boulevard de la Paix 40,2000,housing_access | landlord_issues | housing_education,Bruxelles,contact@solidaritelogement.be,free/sliding_scale,1991,09:00-17:00 Mon-Fri,hous_001,fr | nl | en,Solidarité Logement Brussels,Housing rights and access,+32 (0)2 505 05 50,1000,contact@solidaritelogement.be,Bruxelles,Bruxelles,,ngo,housing_provision | landlord_liaison | housing_rights,95,housing_association,,https://www.solidaritelogement.be
"{'wheelchair': False, 'virtual_consultation': True, 'phone_consultation': True}",Brussels Bar Association | IP Patent Attorney,Avenue Louise 223,limited_availability,Patent registration | Trademark disputes | Copyright,,sophie@avocats-louise.be,"{'consultation': 200, 'initial_contact': '200 EUR', 'payment_plans': False}",2014,"{'monday_friday': '09:30-17:30', 'saturday': None, 'sunday': None}",LAW006,French | English | German,Sophie Lefevre,EU patent law expertise,+32 2 648 1234,1050,"{'name': 'BOIP Belgium', 'relationship': 'Professional network'}",Brussels,Brussels | EU,"{'rating': 4.7, 'count': 28, 'source': 'Professional Directory'}",IP Professional Network,Intellectual Property | Patents | Trademark Law,1,individual,4 weeks,
"{'wheelchair': False, 'virtual_consultation': False, 'phone_consultation': True}",Dinant Bar Association,Rue Royale 156,limited_availability,Debt recovery | Commercial collections | Creditor rights,,sylvie.daumerie@avocats.be,"{'consultation': 110, 'initial_contact': 'Gratuit', 'payment_plans': False}",2009,"{'monday_friday': '08:30-16:30', 'saturday': None, 'sunday': None}",LAW026,French,Sylvie Daumerie,Specializes in debt recovery,+32 82 613 5678,5500,"{'name': 'Dinant Chamber of Commerce', 'relationship': 'Member'}",Wallonia,Wallonia,"{'rating': 4.1, 'count': 22, 'source': 'Professional Directory'}",Commercial Registry,Debt Collection | Recovery Law | Commercial Disputes,1,individual,3 weeks,
"{'wheelchair': True, 'virtual_consultation': False, 'phone_consultation': True}",Brussels Bar Association,Rue Schoubbroeck 34,limited_availability,Construction disputes | Contractor agreements | Building defects,,thibault@avocats.be,"{'consultation': 155, 'initial_contact': '155 EUR', 'payment_plans': False}",2012,"{'monday_friday': '09:30-17:30', 'saturday': None, 'sunday': None}",LAW022,French | English,Thibault Chevallier,Construction sector specialist,+32 2 736 5678,1040,"{'name': 'Building Contractors Association', 'relationship': 'Member'}",Brussels,Brussels,"{'rating': 4.4, 'count': 26, 'source': 'Professional Directory'}",Construction Industry Network,Construction Law | Building Disputes | Contractor Rights,1,individual,3 weeks,
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Tournai Bar Association,Rue Saint-Martin 45,accepting_clients,Accident claims | Civil litigation | Personal injury,,civil@tournailaw.be,"{'consultation': 130, 'initial_contact': 'Gratuit', 'payment_plans': True}",2010,"{'monday_friday': '09:00-17:30', 'saturday': None, 'sunday': None}",LAW025,French | English,Tournai Civil Law Specialists,Accident and injury law specialists,+32 69 210 3456,7500,"{'name': 'Tournai Hospital', 'relationship': 'Referral'}",Wallonia,Wallonia,"{'rating': 4.3, 'count': 37, 'source': 'Google'}",Hospital Referral Network,Civil Litigation | Personal Injury | Negligence Claims,6,firm,2 weeks,https://www.tournailaw.be
wheelchair_accessible,Belgian LGBT+ association,Rue de Flandre 70,500,health_services | counseling | community_programs,Bruxelles,support@tshc.be,free/sliding_scale,2011,"10:00-18:00 Mon-Fri, 10:00-14:00 Sat",trans_001,nl | fr | en,Transgender Support and Health Centre,LGBTQ+ migrant support,+32 (0)2 219 66 66,1000,support@tshc.be,Bruxelles,Bruxelles,,ngo,transgender_health | mental_health | community_support,32,ngo,,https://www.tshc.be
Fully accessible,Brussels Housing Authority,369 Chaussée de Charleroi,45,Transitional Housing | Support Services | Independent Living Skills,Bruxelles,housing@transitional-brussels.be,Free,2010-11-20,24/7,SHEL_BXL_001,FR | NL | AR | EN | SO,Transitional Housing Programme - Brussels,Step-down housing with integrated support services,+32 2 555 1200,1060,Housing Coordinator Sylvie Baudet | Support Worker Jean-Luc Mercier,Bruxelles,Bruxelles,,Brussels Housing Programme,Transitional & Supported Housing,8 Housing staff | 3 Support workers | 2 Case managers,Shelter/Housing Centre,,https://transitional-brussels.be
"Fully accessible, Quiet rooms available","European Trauma Association, Belgian Psychology Board",789 Boulevard Adolphe Max,30,PTSD Treatment | Trauma Counseling | Pain Management,Bruxelles,trauma@psychomed-brussels.be,Free,2012-09-10,Mon-Fri 08:30-17:00,MED_BXL_003,FR | AR | EN | DA | KU,Trauma & Psychosomatic Medicine Centre,Specializes in trauma from conflict and migration,+32 2 555 0300,1000,Dr. Isabelle Renaud | Psychologist Jean Martin,Bruxelles,Bruxelles | Flandre,,Brussels Mental Health Network,Trauma Treatment & Psychosomatic Care,4 Trauma specialists | 6 Psychologists | 2 Nurses | 1 Art therapist,Medical Center,,https://psychomed-brussels.be
Accessible,European Trauma Association,741 Graffiti Street,25,Trauma Therapy | Counseling | Crisis Intervention,Gent,trauma@supportgent.be,Free,2014-01-20,Mon-Fri 10:00-18:00,PSY_GENT_002,NL | FR | AR | EN,Trauma Support & Counseling - Gent,Specialized trauma support for refugees and asylum seekers,+32 9 555 0200,9000,Therapist Erik Descamps | Counselor Lisa De Clercq,Flandre,Flandre,,Gent Social Services,Trauma Counseling & Mental Health Support,3 Trauma therapists | 2 Counselors,Psychological Centre,,https://supportgent.be
wheelchair_accessible,United Nations,Rue de Trèves 61,2000,protection_assessment | resettlement | advocacy,Bruxelles,belbru@unhcr.org,free,1950,09:00-17:00 Mon-Fri,unhcr_001,en | fr | nl,UNHCR Belgium - UN Refugee Agency,UN refugee protection agency,+32 (0)2 738 91 11,1040,belbru@unhcr.org,Bruxelles,Bruxelles | Flandre | Wallonie,,international,refugee_protection | humanitarian_aid | durable_solutions,110,international_org,,https://www.unhcr.org/belgium
wheelchair_accessible,Flemish employment authority,Meir 48,1200,job_search_support | training_programs | employer_liaison,Antwerp,info@vdab-antwerpen.be,free,1989,08:00-17:00 Mon-Fri,employ_ant_001,nl | en | fr | ar,VDAB - Antwerp Employment Centre,Flemish employment agency,+32 (0)3 202 22 00,2000,info@vdab-antwerpen.be,Flandre,Flandre,,official,job_placement | vocational_training | skills_assessment,68,employment_center,,https://www.vdab.be
wheelchair_accessible,Flemish NGO sector,Fortstraat 45,450,buddy_programs | language_classes | social_activities,Gent,contact@vluchtelingenwerk-gent.be,free,2000,10:00-17:00 Mon-Fri,gent_001,nl | fr | en | ar,Vluchtelingenwerk Gent,Community-based refugee support Gent,+32 (0)9 269 13 56,9000,contact@vluchtelingenwerk-gent.be,Flandre,Flandre,,ngo,refugee_support | integration | community_building,32,ngo,,https://www.vluchtelingenwerk-gent.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Mons Bar Association,Rue Neuve 123,accepting_clients,Student disputes | Educational compliance | Accreditation,,veronique.leroy@avocats.be,"{'consultation': 105, 'initial_contact': 'Gratuit', 'payment_plans': True}",2010,"{'monday_friday': '10:00-17:00', 'saturday': None, 'sunday': None}",LAW034,French,Véronique Leroy,Educational sector specialist,+32 65 345 8901,7000,"{'name': 'Education Ministry Wallonia', 'relationship': 'Professional'}",Wallonia,Wallonia,"{'rating': 4.4, 'count': 31, 'source': 'Avocats.be'}",Education Ministry,Educational Law | Student Rights | Accreditation,1,individual,2 weeks,
Accessible,Belgian Education Ministry,258 Rue Léopold,60,French Training | Cultural Orientation | Job Preparation,Liège,language@wallonie-french.be,Free,2011-02-15,Mon-Sat 09:00-18:00,LANG_WAL_001,FR | AR | EN | RO | TI,Wallonie French & Integration Centre,Intensive French and integration programs for migrants,+32 4 555 0300,4000,Director Pierre Collin | Instructor Hana Bennani,Wallonie,Wallonie,,Wallonie Education Registry,French Language & Cultural Integration,8 Instructors | 2 Cultural mediators,Language Centre,,https://wallonie-french.be
"{'wheelchair': True, 'virtual_consultation': True, 'phone_consultation': True}",Namur Bar Association | Notarial Certification,Rue Léopold 12,accepting_clients,Wills | Property | General advice,,contact@walloonlegal.be,"{'consultation': 100, 'initial_contact': 'Gratuit', 'payment_plans': True}",2006,"{'monday_friday': '09:00-17:00', 'saturday': None, 'sunday': None}",LAW007,French | English,Walloon Legal Group,Integrated law and notarial practice,+32 81 245 6789,5000,"{'name': 'Walloon Notaries Council', 'relationship': 'Member'}",Wallonia,Wallonia,"{'rating': 4.4, 'count': 45, 'source': 'Google'}",Walloon Bar Association,General Practice | Notarial Services | Estate Planning,8,firm,2 weeks,https://www.walloonlegal.be
wheelchair_accessible,Belgian gender equality authority,Rue de Flandre 50,700,counseling | shelter | legal_support | skills_training,Bruxelles,contact@wmsn.be,free,2005,"09:00-17:00 Mon-Fri, 10:00-14:00 Sat",women_001,fr | nl | en | ar | am | so,Women Migrants Support Network,Gender-specific migrant support,+32 (0)2 217 90 90,1000,contact@wmsn.be,Bruxelles,Bruxelles,,ngo,women_support | gender_issues | domestic_violence_support,48,ngo,,https://www.wmsn.be
Accessible,Belgian Health Ministry,258 Meir,40,Health Screening | Sexual Health | Vaccinations,Antwerp,youth@healthclinic-antwerp.be,Free,2012-05-20,Mon-Fri 09:00-18:00,MED_ANT_002,NL | FR | AR | EN,Youth Health Clinic Antwerp,Youth-friendly services with emphasis on sexual health,+32 3 555 0200,2000,Dr. Maria Van den Berg | Nurse Filip Segers,Flandre,Flandre,,Antwerp Youth Services,Youth Health Services,5 Doctors | 8 Nurses | 1 Sexual health educator,Medical Center,,https://healthclinic-antwerp.be
